comment_text,comment_type,has_attachments,id,possessive_count,posted_date,submitter_name,technical_density,type_confidence,word_count
See Attached,personal_narrative,False,FDA-2015-D-3719-0013,0,2016-03-01T05:00:00Z,,0.0,0.7,2
I want to comment in favor of Stem Cells.  My wife is now 59 and diagnosed at 50 with early onset by Mayo Clinic. She receives treatments in Panama with cells from umbilical cords of normal live births.  The donors are tested every month and my wife is tested prior to each treatment.  Stem Cells do not cure Alzheimers.  However the progress which was once rapid has greatly slowed and she is in great physical shape.  The average person lives 8 years after diagnosis and she is beyond that. The cells are supposed to reduce the inflammation in the brain they think which slows but not cures the disease.  As an example at the gym everyday she does the rowing machine 35-40 minutes.  Attached is a fairly current photo of her showing that her physical aging is much less than what is normal with Alzheimers as well.,technical_document,False,FDA-2015-D-3719-0014,2,2016-03-08T05:00:00Z,,2.04,0.6,147
"I have received two stem cell treatments over the last three years. The issue is COPD. The treatments helped significantly. Mucus levels decreased, blood O2 level increased and pulmonary test results showed large improvement !",personal_narrative,False,FDA-2015-D-3719-0016,0,2016-03-08T05:00:00Z,,0.0,1.0,35
"I&#39;ve suffered from Rheumatoid Arthritis for over 30 years now, and my right knee became so painful that i could barely put pressure on it and walk.  I was facing the strong possibility of having to undergo knee replacement surgery, even though at 50 yrs of age, my doctor said I was a tad young to do so. <br/><br/>I decided to check out other options, and three and a half years ago, I received a stemcell treatment directly into the knee (using my own abdominal stemcells) and about 8 weeks after the injection, my pain completely subsided and I was able to walk much better and now, three years later, it&#39;s still pain free.<br/><br/>I urge the FDA to approve these type of stem cell treatments, as I experienced no side effects whatsoever, and although I paid for the treatment out of pocket, the whole insurance industry, not to mention the patients, would benefit from not having to pay the much higher costs of joint replacement surgery, post op care and rehab, not to mention the toll ",personal_narrative,False,FDA-2015-D-3719-0015,4,2016-03-08T05:00:00Z,,1.1,1.0,182
"I have MS and had stem cell adipose tissue replacement in 2014. The stem cell gave me the energy to move across country 6 months later and helped my walking. I find it deplorable that I could not have my own stem cells frozen for continued use after a 1 year period.  Why are my stem cells thrown away after a 24 hour period is disgraceful, when I could continue to use them for s better quality of life.  Please help us from having a expensive and invasive procedure done for health.",personal_narrative,False,FDA-2015-D-3719-0017,3,2016-03-08T05:00:00Z,,2.17,1.0,92
"Barbara E Hines<br/>5868 E. Saugana Trail<br/>Rolling Prairie IN 46371<br/><br/>RE: Stem Cell Therapy<br/>Federal Drug Administration<br/><br/>Access to safe and effective stem cell treatment is critical to me , having been diagnosed with RR M.S. over 30 years ago I have had a number of stem cell procedures with Stem Genex, with each treatment I have noticed positive changes.<br/>I have gone from not being able to roll over in bed, have problematic bladder issues, and difficulties in lifting my right leg.<br/>All of the above mentioned issues have improved since participating in stem cell treatments, another interesting fact for me has been I have suffered no relapses since starting the stem cell treatments.<br/>Because of the positive effects from these treatments I received I will continue to participate and recommend this procedure.<br/>I ask you to support the accessability in the U.S. of safe and effective stem cell therapies to help those living with diseases and untreatable cond",personal_narrative,False,FDA-2015-D-3719-0022,1,2016-08-18T04:00:00Z,,0.6,1.0,166
"In favor of Human Cell, tissue or   Cellular based products<br/><br/>I was diagnosed with Primary Progressive Multiple Sclerosis in 2007, Therapies that were available for MS patients were only for those that had Relapsing-Remitting MS. I was told to prepare to be in a wheelchair in a matter of a few years, and there were no therapies or medications that could slow or inhibit the progression of my disease.<br/>My treatment consisted of immune suppression therapy, and high doses of  steroids every month. The side effects were horrendous, and my disease progressed.<br/>I was 43 years old, a wife, and a mother of 2 children under the age of 6. I could hardly function, the fatigue and brain fog made daily living extremely difficult, and walking was becoming very limited. Imagine going from walking 3-5 miles a day to barely being able to get out of bed...and not able to take care of your children.<br/>This was not acceptable to a person that had been fit and healthy all their life.<br/>Ther",personal_narrative,False,FDA-2015-D-3719-0021,26,2016-08-18T04:00:00Z,,0.53,1.0,571
"Secondary Progressive Multiple Sclerosis.  A label given to patients like me that have run through several therapies with no relief.  I left the US for one last try to have a treatment with my own fat derived MSCs.  My quality of life has improved with increased strength, breathing, range of motion and best of all, significant reduction in pain levels. Expanded cells are NOT a drug and should be treated like a blood transfusion.  This break through in regenerative medicine should not be blocked from use and should be allowed as it is in other countries and for other conditions.  These are adult stem cells and patients like me will continue to choose them over drugs that come with side effects, such as additional autoimmune disease including PML, a deadly brain disease that results in death.  Cell therapy is safe and has been very effective for me and others.  It is time to recognize that the benefits to patients is more important than anything else.  ",personal_narrative,False,FDA-2015-D-3719-0024,2,2016-08-18T04:00:00Z,,1.82,0.8,165
"I&#39;ve been lodging complaints with the FDA since 2012 on their mishandling of cellular therapy regulation. Glad to see some responsiveness, after our advocacy group Patients For Stem Cells helped drive a record turnout for the Part 15 hearing on these guidances. Over 600 registered, and 100 requested to speak, resulting in rescheduling. We are looking forward to productive exchange, in which the FDA helps facilitate accelerated access to this therapy, especially for no option patients like myself. <br/><br/>Now that Sen. Mark Kirk has brought the REGROW Act before the Senate, this underscores that We The People are not satisfied with the way the FDA has handled this. Japan already enacted similar Regenerative Medicine legislation in 2014. It&#39;s time for the U.S. to catch up.<br/><br/>I am a no option patient who had exhausted all medical options for MS. An update on my progress, after my 4th treatment at Celltex with stem cells from my own adipose tissue, I&#39;ve been in remissi",personal_narrative,False,FDA-2015-D-3719-0023,5,2016-08-18T04:00:00Z,,1.32,1.0,228
"I have Muscular Dystrohpy, stem cell therapy has helped my body to heal and function better. Improved reaction time, neural pathways seem to be firing off quicker. My experience with stem cell therapy has always been positive, I have never been given false hope and have experienced my own positive results based on trial. My stem cells are my own, if I could access them myself, purify them and activate them I would. BUT because I need assistance in doing so, does NOT take away my right to do with my own body&#39;s stem cells as I see fit. Because they have been taken from my body and activated does NOT mean the FDA now owns them. As much as they would like to, they are still my property. They came from me, they have no been modified or mutated, they have simply been awoken. If stem cells were created in a lab then I can see the fear of rejection and reactions because we would be dealing with a man made substance. There are bigger fish to fry. This is not one of them. ",personal_narrative,False,FDA-2015-D-3719-0019,10,2016-08-18T04:00:00Z,,2.7,1.0,185
"I am a Registered Nurse, my mother is a Type 1 diabetic, and my father-in-law has MS.  Please read the attached document.",personal_narrative,False,FDA-2015-D-3719-0020,2,2016-08-18T04:00:00Z,,0.0,1.0,22
See attached file(s),personal_narrative,False,FDA-2015-D-3719-0025,0,2016-08-23T04:00:00Z,,0.0,0.7,3
"Please find below comments on &#39;Draft Guidances Relating to the Regulation of Human Cells, Tissues, or Cellular or Tissue- Based Products; Public Hearing; Request for Comments&#39; by the REGenableMED consortium. <br/><br/>REGenableMED - REGenableMED is a United Kingdom Economic and Social Research Council (ESRC)-funded project (NES/L002779/1: http://www.york.ac.uk/satsu/regenablemed/ ). It brings together research team builds on work by social science experts based in Birmingham, Edinburgh, Sussex and York in the UK. It is coordinated by Pr Andrew Webster, Science and Technology Studies Unit at the University of York, UK. The project aims to examine the dynamics of innovation within the field of regenerative medicine. Using a mixed-methods social science approach, the project will undertake a detailed analysis of the interplay between business models, measures of clinical utility, patterns of regulatory oversight and clinical workflows within healthcare settings. The results of the",technical_document,False,FDA-2015-D-3719-0026,0,2016-08-23T04:00:00Z,,6.28,1.0,653
See attached file(s)<br/>See attached letter from the American Thoracic Society,personal_narrative,False,FDA-2015-D-3719-0027,0,2016-09-02T04:00:00Z,,0.0,0.7,10
Adult and mature human stem cells are a very powerful and proven method to enhance the self healing powers of the body without any biochemical impact from the outside and any known side effects. They represent a highly effecctive way that can be available to millions of patients with severe illness and healthy progressive people who want to cryopreserve their own adipose stem cells for future therapies. I am a passionate member of the Coalition for Radical Life Extension (http://www.rlecoalition.com/) and see it as an important step for the US to become an international leader in the rapid evolution of medical science that benefits everyone around the world.,personal_narrative,False,FDA-2015-D-3719-0044,0,2016-09-28T04:00:00Z,,1.85,0.8,108
I have been helped with chronic pain significantly with stem cell therapy. This is a wonder cure thT is overlooked by standard medical doctors. I had to search and seArch to get it in the first place. Please stY out of the stem cell business you will only scree it up. It is our own body tissue so leave it alone. I have suffered in chronic pain for 20 years untill I received still cell therapy.<br/><br/>Withdraw the four HCT/P guidance documents<br/>Get out of the business of regulating a person&#39;s use of his own body parts<br/>Continue access to responsible stem cell therapy that uses the patients&#39; own tissue<br/>Story,personal_narrative,False,FDA-2015-D-3719-0066,1,2016-09-28T04:00:00Z,,4.67,0.8,107
"I am living proof that Autologous Stem Cell transplant works.  The stem cells were derived from my fat cells and injected into both of my knees.  I am too young for double knee replacements because of my age.  I am 80-85% better and not quite done with treatment.  I am also in major debt because I had to pay out of pocket.  I took on a second mortgage for the treatment.  My insurance company would pay for bilateral knee replacements and rehab, but stem cell treatment is not covered.  I have personally seen people for whom knee replacements have not worked and they&#39;re lives will never be the same.  <br/><br/>I am supporting Stem Cell treatment and want to see Insurance Companies cover these procedures.  ",personal_narrative,False,FDA-2015-D-3719-0090,4,2016-09-28T04:00:00Z,,1.61,1.0,124
I do not feel the government should be regulating a person&#39;s use of her own stem cells. I do feel clinic need to be regulated that they are using sterile procedures and are honest. People should have access to their own stem cells injected into their own bodies not for use by someone else,technical_document,False,FDA-2015-D-3719-0091,0,2016-09-28T04:00:00Z,,3.7,0.9,54
"I firmly agree to the use of stem cell therapy to treat certain diseases, especially using adipose and bone marrow aspirate.",technical_document,False,FDA-2015-D-3719-0051,0,2016-09-28T04:00:00Z,,9.52,0.9,21
"I am a recipient of stem cell therapy.  I had a rotator cuff repair on my right shoulder (75% tear on one of the four muscles).    My procedure was performed in Denver Colorado by the Centeno Shultz team of physicians.  My results are both profound and impressive.  I tried the regenerative approach because so many of my 40&#39;s and 50&#39;s friends had poor results from traditional surgery (more than half were not successful).  The traditional recovery time was years, the traditional results were poor (range of motion not fully restored with any of the 6 people I know) and their quality of post-surgery life did not change.  <br/><br/>Rotator Cuff - I tore my rotator cuff as a teen in high-school and it healed OK (I thought) until I was about 55.  One day when working on my back in a basement crawl space with a pipe wrench in one hand, I re-injured the shoulder.  It took weeks before my shoulder stopped hurting. It never did feel good at night.  Eventually, I found that I could not sle",personal_narrative,False,FDA-2015-D-3719-0069,19,2016-09-28T04:00:00Z,,0.68,1.0,588
"Docket No. FDA-2015-D-3719<br/>for &quot;Draft Guidances Relating to the Regulation of Human Cells, Tissues, and Cellular and<br/>Tissue-Based Products; Rescheduling of Public Hearing; Request for Comments<br/><br/>Using my own stem cells, my own tissue and body parts without FDA interference should be a no brainer and a slam dunk. I mean it&#39;s my own body. How can the federal government interfere with my privacy and autonomy right to use parts of my own body as a treatment? <br/><br/>The FDA should withdraw the four HCT/P guidance documents and get out of the business of regulating a person&#39;s use of his own body parts. My family includes 3 breast cancer survivors, one who had a double masectomy. My chances of getting breast cancer are higher than the general population given my family history. I fell strongly that the right to use my own body parts to heal myself is my business.<br/><br/>Should this goofy rule pass, future patients are not going to be able to use their own cell",personal_narrative,False,FDA-2015-D-3719-0080,11,2016-09-28T04:00:00Z,,3.66,1.0,191
"HELLO THERE I BELIEVE,STEMCELLS WILL WORK AND SHOULD BE APROVED. AND INSURANCE SHOULD COVER IT,PRIVATE OR MEDICAL/MEDICARE.  IM A QUADAPALEGIC WITH NO MOVEMET IN UPPER &amp; LOWER EXTREMETIES. I THINK STEMCELL IS THE ONLY WAY TO REPAIR SPINAL CORD INJURYS.",personal_narrative,False,FDA-2015-D-3719-0092,0,2016-09-28T04:00:00Z,,0.0,0.7,40
Withdraw the four HCT/P guidance documents.<br/><br/>Get out of the business of regulating a person&#39;s use of their own body parts.<br/>,technical_document,False,FDA-2015-D-3719-0093,0,2016-09-28T04:00:00Z,,10.0,0.8,20
"I am requesting the withdrawal of the four HCT/P guidance documents and stopping legislation that regulates a patient&#39;s use of their own body parts/stem cells for treatment.   <br/><br/>I was diagnosed with Multiple Sclerosis in May of 2001, at the age of 49.   Through the years, even with prescription medicine, my body continued to decline.  The injections destroyed muscle and tissue in my arms, legs, bottom, and stomach.  Due to my condition, I had to take early retirement from teaching.  The wheelchair became my main mode of transportation in public due to my lack of balance, speed, energy, mobility, and strength.<br/><br/>In hopes of improving my health, I tried to be part of MS trials in the United States and Canada.  I was denied either because of my age, the clinics were not studying my specific symptoms, or the trials were closed to the public until they had studied the results for 10 years.   <br/><br/>In 2011, I began stem cell treatments, through Celltex Therapeutics, in",personal_narrative,False,FDA-2015-D-3719-0095,31,2016-09-28T04:00:00Z,,1.29,1.0,852
See attached file(s),personal_narrative,False,FDA-2015-D-3719-0043,0,2016-09-28T04:00:00Z,,0.0,0.7,3
Please find attached Johnson and Johnson comments on Docket No. FDA-2015-D-3719,technical_document,False,FDA-2015-D-3719-0096,0,2016-09-28T04:00:00Z,,9.09,0.9,11
I am disturbed by the FDA&#39;s proposed guidelines that would restrict my ability to use my own stem cells to help me with medical issues. I consider my cells a part of my body and would not like the FDA to interfere with my right to use those cells any way I see fit.  Also I am concerned about the FDA expanding its scope of regulation beyond drugs to medical procedures.   I request that the FDA refrain from restricting use of stem cells for procedures to my own body. ,personal_narrative,False,FDA-2015-D-3719-0067,6,2016-09-28T04:00:00Z,,2.25,1.0,89
I don&#39;t think it&#39;s right that my own stem cells that came from my body can be classified as a drug based on a timeline.  If it is still the same product it should not matter if my stem cells are re-used the same day or several years in the future.  Please do the right thing and help out the citizens of the United States.,personal_narrative,False,FDA-2015-D-3719-0126,3,2016-09-28T04:00:00Z,,3.08,0.7,65
See attached from the AATB and the AATB TPG.,personal_narrative,False,FDA-2015-D-3719-0097,0,2016-09-28T04:00:00Z,,0.0,0.7,9
"Dear FDA,<br/>I&#39;m writing to comment in support of your 4 recent draft guidances pertaining to HCT/Ps and in particular as they relate to investigational cell and specifically stem cell therapies. I urge you to finalize these draft guidances as soon as possible and importantly to begin taking regulatory action based upon them. <br/><br/>To me as a stem cell biologist interested in clinical translation and as someone who has been following the stem cell treatment field for a long time, my view is that the 4 draft guidances are positive steps that make good sense both from a common sense and scientific perspective. <br/><br/>More than minimally manipulated cellular products and those used in non-homologous fashion (these are common occurrences amongst the hundreds of stem cell clinics in the US today) pose greater risks to patients. More specifically, I don&#39;t see how adipose stem cells (aka fat stem cells, SVF) can be commonly used in a homologous fashion except in rare instances",personal_narrative,False,FDA-2015-D-3719-0031,1,2016-09-28T04:00:00Z,,4.18,0.5,479
"Docket No. FDA-2015-D-3719 for &quot;Draft Guidances Relating to the Regulation of Human Cells, Tissues, and Cellular and Tissue-Based Products; Rescheduling of Public Hearing; Request for Comments<br/><br/>1. Withdraw the four HCT/P guidance documents<br/>2. Get out of the business of regulating a person&#39;s use of his own body parts<br/>3. Continue access to responsible stem cell therapy that uses the patients&#39; own tissue",technical_document,False,FDA-2015-D-3719-0070,0,2016-09-28T04:00:00Z,,11.67,1.0,60
Withdraw the four HCT/P guidance documents.<br/>Get out of the business of regulating a person&#39;s use of his own body parts.<br/>Continue access to responsible stem cell therapy that uses the patients&#39; own tissue.,technical_document,False,FDA-2015-D-3719-0077,0,2016-09-28T04:00:00Z,,9.38,0.8,32
"I agree on guidelines promoting safety to all (transmitting communicable diseases), but let doctors practice a technique that will no doubt revolutionize the future of medicine.  <br/><br/>Stem cell therapy has already proven to help thousands. We need to get that number into the millions.",technical_document,False,FDA-2015-D-3719-0100,0,2016-09-28T04:00:00Z,,2.27,0.9,44
"Hi there,<br/><br/>I would very much like for there to be a possibility of personalized stem cell treatment in the future. Please overturn the ruling that banked stem cells are drugs.<br/><br/>Best regards,<br/>Lisa Keenan",technical_document,False,FDA-2015-D-3719-0119,0,2016-09-28T04:00:00Z,,3.12,0.9,32
Please allow stem cell treatment centers to continue to provide state of the art care.  I&#39;ve personally seen the benefit of these treatments and encourage you to allow this to continue. ,personal_narrative,False,FDA-2015-D-3719-0045,0,2016-09-28T04:00:00Z,,0.0,1.0,31
i TOTALLY AGREE THAT OUR CELLS ARE NOT DRUGS.THE GOVERNMENT HAS NO BUSINESS IN TELLING US WHAT WE CAN DO WITH OUR OWN CELLS.IS DIALYSIS A DRUG .BLOOD OUT BLOOD IN.ITS ALL ABOUT THE MONEY THE PHARMACEUTICAL CAN BRING IN.OUR COUNTRY IS ALWAYS THE LAST TO DO WHATS GOOD FOR THE PEOPLE.,personal_narrative,False,FDA-2015-D-3719-0046,3,2016-09-28T04:00:00Z,,0.0,1.0,52
So I have been getting stem cell shots for two years in many areas and many different forms I have had two shoulders one hip and low back procedures. I don&#39;t understand how something that comes from my body that I agree to b harvested can be regulated. The Fda is just another way our government gets into our pocked and they are just upset because they want there peice of the pie. Whithout these shots the government would then be feeding me to and own all my possessions because I would not be working the shots have helped me improve my lifestyle. Just leave people alone it&#39;s supposed to b a free country it&#39;s my body not the governments (hitler is dead).,personal_narrative,False,FDA-2015-D-3719-0060,6,2016-09-28T04:00:00Z,,0.0,1.0,123
My body is not a prescription drug.<br/>My stem cells are not a prescription drug.<br/><br/>Treatment/Pharmaceutical medicine is old technology.<br/>Healing medicine is Modern Technology.<br/><br/>1. Withdraw the four HCT/P guidance documents<br/><br/>2. Get out of the business of regulating a person&#39;s use of his own body parts<br/><br/>3. Continue access to responsible stem cell therapy that uses the patients&#39; own tissue,personal_narrative,False,FDA-2015-D-3719-0075,2,2016-09-28T04:00:00Z,,7.14,0.5,56
I am not in favor of the HCT/P regulations.  I believe that the responsible use of stem cell therapy that uses a patient&#39;s own tissue should be allowed without regulation by the FDA.  It appears to be an innovative and helpful therapy for many uses and should be available to those seeking it.  I personally know of a number of people who have benefited from the orthopedic use of such treatments.  The benefits of having such treatments available using a patient&#39;s own tissue  should be permitted.<br/>,technical_document,False,FDA-2015-D-3719-0105,0,2016-09-28T04:00:00Z,,3.49,0.8,86
This is supposed to be a free country.  We should be allowed to decide what is done to our bodies and with our bodily fluids and tissues.  We should also be able to choose what we put in our bodies (our food should be labeled if it is GMO).  We should not need to go to another country or pay out of pocket and go broke in order to find health.  We have the right to choose!!,personal_narrative,False,FDA-2015-D-3719-0052,4,2016-09-28T04:00:00Z,,0.0,1.0,77
"It is my opinion that the FDA should withdraw all four HCT/P guidance documents. The intended purpose of the FDA was to protect consumers from potentially harmful drugs or food practices. The use of stem cells harvested from my own body (or any individual&#39;s body) is NOT A DRUG. In this sense, the FDA needs to get out of the business of regulating a person&#39;s use of his or her own body cells. <br/>The fact that my stem cells are not a drug that can be mass produced and marketed for top dollar is the exact reason that pharmaceutical companies do not want such therapeutic modalities to become mainstream. This is not an opinion but an absolute fact. <br/><br/>Please continue access to responsible stem cell therapies that use the patient&#39;s own stem cells. This is not a matter for the FDA to decide. The use of stem cells from other individuals carries risk of rejection, and it is understandable that this could be more closely regulated. However, this should not infringe upon the r",personal_narrative,False,FDA-2015-D-3719-0062,3,2016-09-28T04:00:00Z,,3.23,0.8,186
Stem cell research should be allowed and encouraged.,personal_narrative,False,FDA-2015-D-3719-0123,0,2016-09-28T04:00:00Z,,0.0,1.0,8
We own our sovereign bodies.  We deserve access to procedures that can save our lives.  My children deservd to have this access.  It is not their fault they are so affected.  Treatments currently offered would end their lives.  They healthy are good people who deserve healthy lives not inundated with medicinal manipulation and toxicity.  Please allow us save our babies.   Their lives matter.  I risked my life to have them almost 29 years ago.   Please God.  Oh and I am NOT a consumer.  I am the human Being.  ,personal_narrative,False,FDA-2015-D-3719-0089,5,2016-09-28T04:00:00Z,,0.0,1.0,88
Please Do not regulate autologous PRP and stem cells and procedures! The government should not have anything to do with how we use our own cells. These procedures and research have great promise and can reduce overall health care costs and increase the quality of life for millions of people. ,technical_document,False,FDA-2015-D-3719-0109,1,2016-09-28T04:00:00Z,,6.0,0.6,50
How does it make sense that parts (cells) removed from my own body should ever be classified as a drug?  This regulation clearly exists only to enrich pharmaceutical companies and does not serve the public interest in any way.,personal_narrative,False,FDA-2015-D-3719-0122,1,2016-09-28T04:00:00Z,,0.0,0.8,39
"As with many issues of bodily autonomy, stem cells should be no different. My cells are not drugs and I should be free to bank and save them for myself whenever I need them without having to go through some absurd process to procure something I need to make myself well again. To put it colloquially, big pharma needs to step off. ",personal_narrative,False,FDA-2015-D-3719-0118,3,2016-09-28T04:00:00Z,,1.61,1.0,62
"My cells are MY cells. They are not a drug, they are a part of my body. Noone, including the FDA, has any right to prevent me and my doctor from using my body in any way which I deem acceptable. Control over one&#39;s own body is supposed to be an inalienable right. Please don&#39;t take another one of my rights away.",personal_narrative,False,FDA-2015-D-3719-0124,6,2016-09-28T04:00:00Z,,0.0,1.0,62
"How you can say the cells in my body are drugs is beyond me.  It&#39;s my body and I believe I have the right to regulate it&#39;s use.<br/>I&#39;m 76 years ago and I recently had a stem cell treatment. Since the treatment I have had no pain in my right knee which has bothered me for over two years. Also I feel better than I have in years. Stopping stem cell treatment which is taken from our own bodies is not going to stop it, but just makes us go to other countries whose laws are pro longevity, not to die in painful conditions.  ",personal_narrative,False,FDA-2015-D-3719-0041,4,2016-09-28T04:00:00Z,,0.0,1.0,104
"To Whom it May Concern...I had a stem cell procedure on my left knee in April of 2016 and was immediately pain free. As the progress of the cell growth continued, my knee felt better and better and became stronger. I was then able to go on a trip to Africa and do things my knee was not previously able to do. Then we went to Croatia and Slovenia and I was able to do some hiking, lots of long walks, touring, and riding on the bus for the countryside tours. I can now climb stairs, as well. <br/>    This procedure should be approved as an alternative to knee replacement if one still has cartilage, however worn the cartilage has become. I Also had water on my knee, bone spurs, and a stretched ligament on my lateral side of the knee. Please consider approval of the stem cell procedure through the FDA. Using my own cells, platelets, and adipose tissue I had no issues or fears. Thank you. Sincerely, Carol Airoldi<br/>    ",personal_narrative,False,FDA-2015-D-3719-0086,6,2016-09-28T04:00:00Z,,0.0,1.0,171
I am not in favour of all the new regulations an autologous stem cell use. It&#39;s so important to make it available especially for mastectomy patients. Monitor the people that are abusing the situation but don&#39;t over-regulate legitimate practices.,personal_narrative,False,FDA-2015-D-3719-0107,0,2016-09-28T04:00:00Z,,2.56,0.8,39
My cells are my own and I should be able to use them! The government shouldn&#39;t control my biology.,personal_narrative,False,FDA-2015-D-3719-0108,3,2016-09-28T04:00:00Z,,0.0,1.0,19
"Final version of comments presented at Sept 12, 2016 CBER meeting by Elliot Lander, Co-Medical Director, Cell Surgical Network<br/><br/>Cell Surgical Network represents over 400 physicians participating in nearly 100 multidisciplinary affiliated clinics around the world. Since 2010, CSN affiliates have safely performed over 5000 procedures under IRB protocols using our standardized same day cell surgery procedure with Autologous Adipose SVF or Stromal Vascular Fraction. Our patients receive proper pre-operative IRB informed consents and afterword, safety and efficacy data is collected online. Our data has been submitted for peer-review publication and also to the FDA.  It is safe.  There have been no deaths, infections, emboli or any severe adverse events related to cell therapy. It also works and improves many conditions where cellular repair is necessary.  While collecting investigative data, we provide cell therapy for our patients in a low risk, cost effective, and transparent inve",personal_narrative,False,FDA-2015-D-3719-0030,10,2016-09-28T04:00:00Z,,1.98,1.0,757
